date,pf_close,gd_close
2016-01-04,10.6,4.01
2016-01-05,10.7,4.03
2016-01-06,10.78,4.08
2016-01-07,10.43,3.91
2016-01-08,10.42,3.98
2016-01-11,10.15,3.81
2016-01-12,10.39,3.83
2016-01-13,10.36,3.79
2016-01-14,10.67,3.79
2016-01-15,10.47,3.66
2016-01-18,10.53,3.63
2016-01-19,10.58,3.7
2016-01-20,10.27,3.65
2016-01-21,9.87,3.64
2016-01-22,10.14,3.67
2016-01-25,10.14,3.67
2016-01-26,9.92,3.48
2016-01-27,9.93,3.49
2016-01-28,9.87,3.42
2016-01-29,10.07,3.53
2016-02-01,9.83,3.44
2016-02-02,9.98,3.47
2016-02-03,9.89,3.45
2016-02-04,10.3,3.48
2016-02-05,10.95,3.46
2016-02-15,10.99,3.42
2016-02-16,10.99,3.51
2016-02-17,10.99,3.52
2016-02-18,10.99,3.53
2016-02-19,10.99,3.51
2016-02-22,10.99,3.58
2016-02-23,10.99,3.52
2016-02-24,10.99,3.52
2016-02-25,10.99,3.34
2016-02-26,10.99,3.39
2016-02-29,10.99,3.36
2016-03-01,10.99,3.38
2016-03-02,10.99,3.47
2016-03-03,10.99,3.51
2016-03-04,10.99,3.69
2016-03-07,10.99,3.66
2016-03-08,10.99,3.68
2016-03-09,10.99,3.69
2016-03-10,10.99,3.6
2016-03-11,10.11,3.64
2016-03-14,10.04,3.64
2016-03-15,10.14,3.64
2016-03-16,10.74,3.71
2016-03-17,10.54,3.7
2016-03-18,10.62,3.7
2016-03-21,10.76,3.71
2016-03-22,10.81,3.72
2016-03-23,10.8,3.7
2016-03-24,10.55,3.64
2016-03-25,10.57,3.66
2016-03-28,10.39,3.64
2016-03-29,10.39,3.63
2016-03-30,10.64,3.71
2016-03-31,10.68,3.71
2016-04-01,10.83,3.74
2016-04-05,10.82,3.75
2016-04-06,10.7,3.73
2016-04-07,10.54,3.69
2016-04-08,10.48,3.68
2016-04-11,10.52,3.71
2016-04-12,10.49,3.7
2016-04-13,10.57,3.74
2016-04-14,10.6,3.75
2016-04-15,10.65,3.74
2016-04-18,10.61,3.69
2016-04-19,10.66,3.68
2016-04-20,10.7,3.65
2016-04-21,10.79,3.63
2016-04-22,10.86,3.63
2016-04-25,10.65,3.61
2016-04-26,10.67,3.61
2016-04-27,10.64,3.61
2016-04-28,10.66,3.64
2016-04-29,10.62,3.61
2016-05-03,10.79,3.65
2016-05-04,10.77,3.64
2016-05-05,10.76,3.65
2016-05-06,10.56,3.59
2016-05-09,10.43,3.52
2016-05-10,10.41,3.51
2016-05-11,10.39,3.53
2016-05-12,10.37,3.51
2016-05-13,10.27,3.5
2016-05-16,10.3,3.51
2016-05-17,10.27,3.48
2016-05-18,10.46,3.48
2016-05-19,10.33,3.47
2016-05-20,10.39,3.49
2016-05-23,10.45,3.5
2016-05-24,10.45,3.49
2016-05-25,10.52,3.51
2016-05-26,10.54,3.51
2016-05-27,10.57,3.51
2016-05-30,10.69,3.56
2016-05-31,10.89,3.67
2016-06-01,10.89,3.66
2016-06-02,10.73,3.64
2016-06-03,10.73,3.68
2016-06-06,10.73,3.66
2016-06-07,10.73,3.66
2016-06-08,10.71,3.66
2016-06-13,10.59,3.59
2016-06-14,10.6,3.61
2016-06-15,10.57,3.62
2016-06-16,10.6,3.59
2016-06-17,10.58,3.6
2016-06-20,10.63,3.58
2016-06-21,10.59,3.6
2016-06-22,10.65,3.63
2016-06-23,10.61,3.63
2016-06-24,10.31,3.6
2016-06-27,10.33,3.65
2016-06-28,10.31,3.67
2016-06-29,10.46,3.7
2016-06-30,10.5,3.72
2016-07-01,10.74,3.77
2016-07-04,10.75,3.78
2016-07-05,10.65,3.76
2016-07-06,10.55,3.77
2016-07-07,10.5,3.8
2016-07-08,10.42,3.78
2016-07-11,10.41,3.8
2016-07-12,10.55,3.85
2016-07-13,10.65,3.89
2016-07-14,10.59,3.89
2016-07-15,10.6,3.97
2016-07-18,10.64,4.02
2016-07-19,10.61,3.97
2016-07-20,10.63,3.96
2016-07-21,10.68,3.95
2016-07-22,10.54,3.97
2016-07-25,10.59,4.03
2016-07-26,10.62,4.07
2016-07-27,10.71,4.03
2016-07-28,10.58,3.97
2016-07-29,10.59,3.99
2016-08-01,10.66,4.01
2016-08-02,10.63,3.99
2016-08-03,10.57,3.97
2016-08-04,10.52,3.97
2016-08-05,10.61,3.99
2016-08-08,10.62,3.99
2016-08-09,10.65,4.01
2016-08-10,10.68,4.02
2016-08-11,10.84,4.06
2016-08-12,11.04,4.22
2016-08-15,11.43,4.36
2016-08-16,11.27,4.28
2016-08-17,11.23,4.21
2016-08-18,11.09,4.2
2016-08-19,11.08,4.21
2016-08-22,11.07,4.18
2016-08-23,11.06,4.17
2016-08-24,11.06,4.17
2016-08-25,11.02,4.14
2016-08-26,11.02,4.11
2016-08-29,11.02,4.05
2016-08-30,11.14,4.07
2016-08-31,11.19,4.08
2016-09-01,11.15,4.08
2016-09-02,11.19,4.08
2016-09-05,11.2,4.08
2016-09-06,11.15,4.05
2016-09-07,11.19,4.05
2016-09-08,11.27,4.04
2016-09-09,11.25,4.0
2016-09-12,11.14,3.9
2016-09-13,11.17,3.93
2016-09-14,11.14,3.87
2016-09-19,11.18,3.91
2016-09-20,11.18,3.9
2016-09-21,11.17,3.91
2016-09-22,11.23,3.93
2016-09-23,11.19,3.94
2016-09-26,11.19,3.87
2016-09-27,11.19,3.91
2016-09-28,11.19,3.88
2016-09-29,11.21,3.93
2016-09-30,11.2,3.94
2016-10-10,11.24,3.97
2016-10-11,11.25,3.95
2016-10-12,11.21,3.91
2016-10-13,11.16,3.93
2016-10-14,11.18,3.91
2016-10-17,11.05,3.88
2016-10-18,11.1,3.93
2016-10-19,11.05,3.95
2016-10-20,11.06,3.95
2016-10-21,11.06,3.97
2016-10-24,11.19,4.03
2016-10-25,11.15,4.02
2016-10-26,11.08,3.97
2016-10-27,11.0,3.95
2016-10-28,11.06,3.97
2016-10-31,11.05,3.96
2016-11-01,11.07,4.02
2016-11-02,11.0,3.97
2016-11-03,11.11,3.99
2016-11-04,11.14,4.0
2016-11-07,11.15,4.02
2016-11-08,11.19,4.03
2016-11-09,11.18,4.01
2016-11-10,11.25,4.05
2016-11-11,11.27,4.06
2016-11-14,11.27,4.08
2016-11-15,11.27,4.06
2016-11-16,11.27,4.04
2016-11-17,11.27,4.04
2016-11-18,11.27,4.01
2016-11-21,11.3,4.06
2016-11-22,11.33,4.13
2016-11-23,11.5,4.2
2016-11-24,11.47,4.23
2016-11-25,11.61,4.3
2016-11-28,11.69,4.31
2016-11-29,11.72,4.32
2016-11-30,11.66,4.25
2016-12-01,11.65,4.27
2016-12-02,11.61,4.24
2016-12-05,11.75,4.22
2016-12-06,11.7,4.18
2016-12-07,11.59,4.17
2016-12-08,11.64,4.21
2016-12-09,11.78,4.35
2016-12-12,11.88,4.34
2016-12-13,11.66,4.29
2016-12-14,11.67,4.31
2016-12-15,11.34,4.13
2016-12-16,11.32,4.1
2016-12-19,11.22,4.09
2016-12-20,11.06,4.05
2016-12-21,11.08,4.08
2016-12-22,11.0,4.05
2016-12-23,11.0,4.04
2016-12-26,11.04,4.05
2016-12-27,10.96,4.03
2016-12-28,10.93,4.03
2016-12-29,10.91,4.04
2016-12-30,11.01,4.06
